duration_ms,explicit,popularity,artists,album_name,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,n_beats,n_bars,processing,genre,genre_val
326266,False,21,Mike Barnett;Bryan Sutton,Portraits in Fiddles,0.456,0.764,9,-10.223,0.034,0.566,0.912,0.105,0.661,129.629,4.0,696.0,173.0,1.343558282208589,bluegrass,3
240000,False,45,Rammstein;twocolors,Angst,0.554,0.885,7,-9.737,0.0366,0.0016,0.36,0.164,0.117,118.99,4.0,474.0,119.0,4.067085953878407,industrial,12
346720,False,20,Cani González;Carlos Marír,La Cenicienta (Banda Sonora Original),0.276,0.135,7,-17.956,0.0384,0.93,0.00233,0.135,0.246,137.135,3.0,644.0,214.0,4.067085953878407,disney,7
198240,False,12,Maneva,Tudo Vira Reggae,0.71,0.451,9,-8.217,0.133,0.137,9.85e-05,0.374,0.481,156.032,4.0,503.0,126.0,1.343558282208589,brazil,4
258000,False,50,Kyson;Young & Sick,Every High (The Remixes),0.766,0.572,10,-10.182,0.0433,0.0202,0.0146,0.0554,0.231,119.952,4.0,502.0,126.0,0.7573891625615764,idm,10
250057,False,11,Ed Solo;Deekline;Gala Orsborn,General Levy presents Welcome To The Jungle + Mix by Deekline & Ed Solo,0.691,0.937,10,-3.71,0.138,0.000921,0.0238,0.2,0.839,174.172,4.0,720.0,179.0,0.7573891625615764,breakbeat,5
537544,False,17,Sunken,Livslede,0.353,0.363,7,-12.685,0.0333,0.00293,0.836,0.1,0.0777,89.999,4.0,798.0,200.0,4.067085953878407,black-metal,2
311845,False,18,Teddy Killerz,Hyperspeed EP,0.536,0.933,7,-3.037,0.166,0.00014,0.518,0.0992,0.141,171.997,4.0,886.0,222.0,4.067085953878407,idm,10
210000,False,30,Brisa Star;Gabi Martins,Quem Jura Mente,0.613,0.851,7,-2.41,0.0337,0.0309,1.06e-06,0.109,0.862,152.043,4.0,531.0,134.0,4.067085953878407,forro,8
304706,False,21,Nogizaka46,Time flies (Complete Edition),0.444,0.902,7,-4.025,0.0631,0.578,0.0,0.349,0.594,155.963,4.0,781.0,195.0,4.067085953878407,j-idol,15
113939,False,26,Smartface,Need To Breathe,0.772,0.661,7,-6.689,0.038,0.432,0.854,0.573,0.162,99.011,4.0,185.0,45.0,4.067085953878407,study,19
290816,False,48,Suellen Brum,O Processo,0.642,0.642,2,-6.174,0.0339,0.362,0.0,0.379,0.502,125.999,4.0,604.0,150.0,3.70048309178744,brazil,4
136969,False,4,"Sarah, the Illstrumentalist",Celebrate You,0.749,0.303,0,-8.137,0.0386,0.0897,0.741,0.0861,0.283,99.005,4.0,223.0,55.0,3.349056603773585,study,19
264137,False,20,Re-Style,Masters Of Hardcore The Conquest Of Fury,0.475,0.925,11,-5.669,0.0581,0.0304,0.0242,0.0473,0.529,170.002,4.0,737.0,186.0,0.7481162540365985,happy,9
274285,False,57,Tristam;Braken,Frame of Mind,0.435,0.725,1,-6.969,0.0609,0.0424,3.89e-06,0.105,0.397,174.989,4.0,782.0,196.0,2.36741214057508,sleep,17
131265,False,11,Dusty Decks,Meanwhile Uptown,0.664,0.599,11,-7.312,0.254,0.202,0.916,0.103,0.6,93.996,4.0,201.0,50.0,0.7481162540365985,study,19
163854,False,10,My Ol' Man,Lazy Days,0.779,0.447,0,-8.793,0.0879,0.385,0.907,0.114,0.3,155.999,4.0,421.0,104.0,3.349056603773585,study,19
565041,False,0,Stephan Bodzin;Mathew Jonson,Armada Electronic Elements - ADE 2022,0.771,0.661,5,-12.998,0.0686,0.00216,0.834,0.0856,0.167,124.005,4.0,1148.0,289.0,1.2793053545586106,techno,20
278360,False,12,Fast Eddie;DJ Sneak,Booty Call,0.835,0.876,1,-7.099,0.0814,0.0657,0.15,0.0266,0.344,128.482,4.0,585.0,147.0,2.36741214057508,chicago-house,6
182653,False,31,Noortje Herlaar;Willemijn Verkaik;Carlo Boszhard;Cast - Olaf's Frozen Avontuur,Olaf's Frozen Avontuur (Originele Nederlandstalige Soundtrack),0.615,0.522,6,-6.336,0.11,0.729,0.0,0.0819,0.733,132.927,4.0,391.0,98.0,1.1709531013615733,disney,7
213466,False,21,Dune,History,0.51,0.758,6,-10.303,0.0408,0.0867,0.521,0.156,0.155,164.0,4.0,571.0,144.0,1.1709531013615733,happy,9
319826,False,26,KMFDM,Tohuvabohu,0.462,0.945,2,-5.746,0.051,3.3e-06,0.76,0.128,0.534,150.014,4.0,797.0,199.0,3.70048309178744,industrial,12
287900,False,16,Freestylers;Plump DJs,Other Worlds,0.78,0.903,0,-4.526,0.0668,0.0093,0.00644,0.106,0.912,127.03,4.0,594.0,149.0,3.349056603773585,breakbeat,5
269245,False,50,告五人,我肯定在幾百年前就說過愛你,0.424,0.355,9,-10.461,0.0295,0.814,0.042,0.135,0.199,169.927,4.0,743.0,186.0,1.343558282208589,mandopop,16
